,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-23,12.626199722290039,7557.81982421875,583.5850219726562,119.31400299072266,0.599593997001648,12.626199722290039,7557.81982421875,583.5850219726562,119.31400299072266,0.599593997001648,13.925200462341309,8054.66015625,651.635986328125,129.33200073242188,0.6491209864616394,12.33430004119873,7507.8798828125,572.9520263671875,117.3499984741211,0.5869969725608826,13.852899551391602,8037.080078125,646.6699829101562,128.80799865722656,0.6486340165138245,68215200,6491120128,2995429888,373329984,482480992
2018-05-24,13.000300407409668,7587.33984375,601.7550048828125,122.61299896240234,0.6319969892501831,13.000300407409668,7587.33984375,601.7550048828125,122.61299896240234,0.6319969892501831,13.190899848937988,7738.60009765625,610.8179931640625,124.37100219726562,0.6402580142021179,12.201499938964844,7331.14013671875,557.2059936523438,115.88999938964844,0.5892720222473145,12.609999656677246,7561.1201171875,584.5360107421875,119.19499969482422,0.5992069840431213,54410900,6049220096,2791099904,345857984,440532992
2018-05-25,13.008000373840332,7480.14013671875,586.7340087890625,119.44200134277344,0.6110010147094727,13.008000373840332,7480.14013671875,586.7340087890625,119.44200134277344,0.6110010147094727,13.370599746704102,7659.14013671875,617.1859741210938,124.2020034790039,0.6362079977989197,12.635299682617188,7392.64990234375,575.6240234375,117.82099914550781,0.6033340096473694,13.032600402832031,7592.2998046875,602.1400146484375,122.55899810791016,0.6329240202903748,49173800,4867829760,2110919936,297743008,289816000
2018-05-26,12.759099960327148,7355.8798828125,587.280029296875,118.2770004272461,0.6127079725265503,12.759099960327148,7355.8798828125,587.280029296875,118.2770004272461,0.6127079725265503,13.196399688720703,7595.16015625,606.1749877929688,122.2509994506836,0.6264939904212952,12.695899963378906,7349.1201171875,583.5120239257812,117.86799621582031,0.6037999987602234,12.963000297546387,7486.47998046875,587.426025390625,119.3499984741211,0.6101179718971252,43258400,4051539968,1694300032,275851008,213242000
2018-05-27,12.605799674987793,7368.22021484375,572.6680297851562,117.99199676513672,0.6078810095787048,12.605799674987793,7368.22021484375,572.6680297851562,117.99199676513672,0.6078810095787048,12.7923002243042,7381.740234375,590.3280029296875,118.8479995727539,0.612883985042572,12.329099655151367,7270.9599609375,562.8660278320312,116.98600006103516,0.6033279895782471,12.785699844360352,7362.080078125,588.52001953125,118.50399780273438,0.6120399832725525,36691600,4056519936,1788790016,258727008,186963008
2018-05-28,11.89430046081543,7135.990234375,516.0360107421875,111.5979995727539,0.5522990226745605,11.89430046081543,7135.990234375,516.0360107421875,111.5979995727539,0.5522990226745605,12.752799987792969,7419.0498046875,576.0490112304688,119.08300018310547,0.60978102684021,11.703100204467773,7100.89013671875,512.552001953125,111.47599792480469,0.5522990226745605,12.599599838256836,7371.31005859375,573.0449829101562,117.93000030517578,0.6083679795265198,33398400,5040600064,2356900096,295723008,327903008
2018-05-29,12.571700096130371,7472.58984375,565.3880004882812,119.56800079345703,0.6012409925460815,12.571700096130371,7472.58984375,565.3880004882812,119.56800079345703,0.6012409925460815,12.675200462341309,7526.419921875,572.2639770507812,121.96299743652344,0.6107490062713623,11.76710033416748,7090.68017578125,516.1480102539062,110.90299987792969,0.5516350269317627,11.955499649047852,7129.4599609375,516.1480102539062,111.84400177001953,0.5560839772224426,48807700,5662660096,2330820096,350520000,380744000
2018-05-30,12.570899963378906,7406.52001953125,559.5900268554688,117.53299713134766,0.6058170199394226,12.570899963378906,7406.52001953125,559.5900268554688,117.53299713134766,0.6058170199394226,12.796899795532227,7573.77001953125,583.135986328125,122.3759994506836,0.6276789903640747,12.273900032043457,7313.60009765625,545.4310302734375,116.01699829101562,0.5900580286979675,12.608400344848633,7469.72998046875,566.8300170898438,119.54000091552734,0.6037690043449402,43146300,4922540032,2053970048,305275008,320604992
2018-05-31,14.190199851989746,7494.169921875,577.64501953125,118.0739974975586,0.6126220226287842,14.190199851989746,7494.169921875,577.64501953125,118.0739974975586,0.6126220226287842,14.219400405883789,7608.89990234375,585.5380249023438,120.59400177001953,0.6216359734535217,12.413800239562988,7361.1298828125,557.0659790039062,116.63800048828125,0.5960890054702759,12.561800003051758,7406.14990234375,558.4970092773438,117.31800079345703,0.6034520268440247,93931696,5127130112,1985040000,297183008,283328000
2018-06-01,14.240799903869629,7541.4501953125,580.0430297851562,119.91500091552734,0.6233639717102051,14.240799903869629,7541.4501953125,580.0430297851562,119.91500091552734,0.6233639717102051,14.411399841308594,7604.72998046875,589.093017578125,120.19599914550781,0.6248239874839783,13.789299964904785,7407.33984375,567.6649780273438,117.11599731445312,0.6090689897537231,14.251700401306152,7500.7001953125,578.6719970703125,118.02799987792969,0.6128929853439331,80342200,4921460224,1945890048,290886016,263088000
2018-06-02,14.679699897766113,7643.4501953125,591.8079833984375,123.30699920654297,0.6434509754180908,14.679699897766113,7643.4501953125,591.8079833984375,123.30699920654297,0.6434509754180908,14.845999717712402,7695.830078125,597.0770263671875,123.89399719238281,0.6489819884300232,14.008700370788574,7497.259765625,577.322021484375,118.95500183105469,0.6194769740104675,14.319199562072754,7536.72021484375,580.4290161132812,119.8280029296875,0.6234620213508606,87983000,4939299840,1880390016,310800000,315206016
2018-06-03,14.565999984741211,7720.25,618.3289794921875,125.5,0.6712049841880798,14.565999984741211,7720.25,618.3289794921875,125.5,0.6712049841880798,14.950799942016602,7754.89013671875,624.5130004882812,127.36799621582031,0.6735939979553223,14.328300476074219,7613.0400390625,591.2589721679688,122.36599731445312,0.6408910155296326,14.681900024414062,7632.08984375,591.2589721679688,123.28500366210938,0.6434119939804077,82182304,4851760128,1832550016,322787008,327804000
2018-06-04,14.261099815368652,7514.47021484375,592.9849853515625,119.90299987792969,0.661424994468689,14.261099815368652,7514.47021484375,592.9849853515625,119.90299987792969,0.661424994468689,14.675600051879883,7753.81982421875,623.4290161132812,126.32599639892578,0.7036229968070984,13.665499687194824,7474.0400390625,583.7470092773438,118.72799682617188,0.6446030139923096,14.675600051879883,7722.52978515625,619.43701171875,125.21099853515625,0.6924660205841064,58219100,4993169920,1903430016,299780992,558131008
2018-06-05,15.599300384521484,7633.759765625,609.302978515625,121.70099639892578,0.6770150065422058,15.599300384521484,7633.759765625,609.302978515625,121.70099639892578,0.6770150065422058,15.674799919128418,7643.22998046875,611.3300170898438,122.00599670410156,0.6838399767875671,14.210200309753418,7397.0,580.9819946289062,116.44200134277344,0.6414279937744141,14.253899574279785,7500.89990234375,593.406005859375,119.89600372314453,0.6618980169296265,101474000,4961739776,1844269952,300892000,386328000
2018-06-06,17.247499465942383,7653.97998046875,607.1240234375,121.18299865722656,0.674796998500824,17.247499465942383,7653.97998046875,607.1240234375,121.18299865722656,0.674796998500824,17.360700607299805,7680.43017578125,611.6430053710938,122.13800048828125,0.6816679835319519,15.349900245666504,7502.009765625,596.39599609375,118.55599975585938,0.6600589752197266,15.598999977111816,7625.97021484375,610.2620239257812,121.88800048828125,0.677901029586792,157806000,4692259840,1756530048,324158016,273966016
2018-06-07,16.263099670410156,7678.240234375,605.18701171875,121.4260025024414,0.6781280040740967,16.263099670410156,7678.240234375,605.18701171875,121.4260025024414,0.6781280040740967,17.438100814819336,7741.27001953125,616.1439819335938,123.1780014038086,0.6882230043411255,16.175399780273438,7650.81982421875,601.6929931640625,119.62100219726562,0.6731460094451904,17.26650047302246,7650.81982421875,607.68701171875,121.33899688720703,0.6753129959106445,131031000,4485799936,1880140032,365670016,244568000
2018-06-08,16.273799896240234,7624.919921875,601.0770263671875,120.08399963378906,0.6743429899215698,16.273799896240234,7624.919921875,601.0770263671875,120.08399963378906,0.6743429899215698,16.625099182128906,7698.18994140625,608.8109741210938,121.94599914550781,0.6796680092811584,15.830699920654297,7558.39990234375,595.593017578125,118.70500183105469,0.6608039736747742,16.34950065612793,7685.14013671875,605.4429931640625,121.51599884033203,0.677586019039154,94394600,4227579904,1637779968,285831008,221887008
2018-06-09,15.963199615478516,7531.97998046875,597.56201171875,117.74099731445312,0.6597549915313721,15.963199615478516,7531.97998046875,597.56201171875,117.74099731445312,0.6597549915313721,16.890300750732422,7683.580078125,608.5830078125,121.0250015258789,0.6788930296897888,15.963199615478516,7531.97998046875,597.56201171875,117.74099731445312,0.6597549915313721,16.311899185180664,7632.52001953125,600.905029296875,120.10800170898438,0.6747779846191406,85299904,3845220096,1519309952,242235008,175990000
2018-06-10,14.184200286865234,6786.02001953125,526.47900390625,107.04399871826172,0.588126003742218,14.184200286865234,6786.02001953125,526.47900390625,107.04399871826172,0.588126003742218,15.928600311279297,7499.5498046875,594.344970703125,117.56199645996094,0.6595140099525452,13.592300415039062,6709.06982421875,511.8890075683594,104.08200073242188,0.5612369775772095,15.928600311279297,7499.5498046875,594.344970703125,117.56199645996094,0.6595140099525452,79288200,5804839936,2234880000,399889984,492555008
2018-06-11,15.383500099182129,6906.919921875,533.2839965820312,107.51599884033203,0.604066014289856,15.383500099182129,6906.919921875,533.2839965820312,107.51599884033203,0.604066014289856,15.383500099182129,6910.18017578125,536.8579711914062,108.84700012207031,0.604066014289856,13.785900115966797,6706.6298828125,515.2689819335938,104.1240005493164,0.5687209963798523,14.135499954223633,6799.2900390625,524.8569946289062,106.54100036621094,0.5861979722976685,83039696,4745269760,1982119936,331430016,336547008
2018-06-12,15.226200103759766,6582.35986328125,496.8429870605469,100.75199890136719,0.5629330277442932,15.226200103759766,6582.35986328125,496.8429870605469,100.75199890136719,0.5629330277442932,16.158700942993164,6907.9599609375,538.9550170898438,108.05799865722656,0.6021389961242676,14.992199897766113,6542.080078125,491.2349853515625,99.37460327148438,0.5566530227661133,15.524700164794922,6905.81982421875,532.7100219726562,107.4280014038086,0.6021360158920288,116016000,4654380032,1932760064,333163008,309544000
